iter	Passed	Remaining
0	2	217
1	4	197
2	5	178
3	6	165
4	8	157
5	9	151
6	11	150
7	12	148
8	14	147
9	16	145
10	17	143
11	19	140
12	20	138
13	22	136
14	23	133
15	25	131
16	26	129
17	28	128
18	29	127
19	31	125
20	33	124
21	34	123
22	36	121
23	38	120
24	39	119
25	41	118
26	43	117
27	45	116
28	46	114
29	48	114
30	50	112
31	51	110
32	53	108
33	55	107
34	56	105
35	58	104
36	60	103
37	62	101
38	63	100
39	65	98
40	67	97
41	69	96
42	71	94
43	72	92
44	74	91
45	76	89
46	78	88
47	79	86
48	81	84
49	82	82
50	84	81
51	86	79
52	87	77
53	89	75
54	90	74
55	92	72
56	93	70
57	95	69
58	96	67
59	98	65
60	100	64
61	101	62
62	103	60
63	105	59
64	107	57
65	109	56
66	111	54
67	112	53
68	114	51
69	116	49
70	118	48
71	120	46
72	122	45
73	123	43
74	125	41
75	126	40
76	128	38
77	130	36
78	131	34
79	133	33
80	134	31
81	136	29
82	138	28
83	139	26
84	141	24
85	142	23
86	144	21
87	146	20
88	148	18
89	150	16
90	152	15
91	154	13
92	155	11
93	157	10
94	159	8
95	161	6
96	163	5
97	165	3
98	166	1
99	168	0
