iter	Passed	Remaining
0	167	167067
1	170	85311
2	174	57953
3	178	44393
4	183	36450
5	186	30898
6	190	26963
7	193	24037
8	197	21733
9	200	19837
10	203	18281
11	207	17084
12	211	16035
13	214	15095
14	217	14272
15	220	13580
16	224	12990
17	228	12439
18	231	11942
19	234	11503
20	237	11087
21	240	10700
22	243	10357
23	249	10137
24	252	9858
25	255	9574
26	258	9311
27	261	9080
28	265	8876
29	268	8670
30	271	8493
31	274	8318
32	278	8153
33	281	8003
34	284	7853
35	287	7711
36	291	7580
37	294	7464
38	298	7349
39	300	7223
40	303	7108
41	309	7050
42	312	6950
43	315	6851
44	318	6752
45	321	6662
46	324	6584
47	327	6500
48	330	6419
49	333	6345
50	337	6274
51	340	6199
52	342	6127
53	345	6055
54	348	5985
55	351	5922
56	354	5860
57	357	5798
58	359	5735
59	364	5707
60	367	5653
61	369	5597
62	372	5544
63	376	5504
64	379	5465
65	383	5423
66	386	5380
67	389	5341
68	393	5305
69	396	5269
70	399	5232
71	403	5200
72	408	5181
73	411	5150
74	415	5122
75	419	5097
76	422	5069
77	426	5037
78	429	5007
79	433	4980
80	437	4958
81	440	4930
82	442	4888
83	446	4864
84	449	4841
85	453	4818
86	457	4800
87	461	4780
88	464	4757
89	468	4741
90	472	4723
91	477	4713
92	482	4702
93	486	4685
94	489	4664
95	493	4644
96	497	4630
97	501	4616
98	505	4600
99	509	4584
100	513	4568
101	517	4554
102	521	4537
103	524	4521
104	528	4507
105	532	4493
106	537	4486
107	544	4499
108	549	4494
109	554	4483
110	559	4477
111	563	4468
112	567	4455
113	572	4446
114	576	4436
115	580	4422
116	583	4400
117	587	4388
118	590	4370
119	593	4353
120	596	4334
121	599	4314
122	603	4302
123	606	4287
124	610	4272
125	614	4262
126	617	4244
127	621	4235
128	626	4227
129	633	4236
130	637	4231
131	642	4222
132	646	4211
133	650	4205
134	655	4200
135	660	4198
136	665	4195
137	670	4185
138	673	4173
139	678	4166
140	683	4161
141	685	4140
142	688	4125
143	691	4110
144	694	4094
145	698	4083
146	701	4071
147	704	4057
148	708	4044
149	711	4032
150	714	4019
151	717	4005
152	720	3989
153	724	3981
154	728	3969
155	731	3956
156	734	3945
157	738	3934
158	741	3922
159	744	3910
160	747	3892
161	751	3886
162	754	3875
163	758	3867
164	762	3856
165	765	3848
166	769	3840
167	774	3833
168	777	3822
169	782	3818
170	785	3808
171	788	3796
172	792	3788
173	795	3775
174	798	3762
175	800	3749
176	803	3736
177	806	3724
178	809	3714
179	813	3705
180	816	3695
181	820	3689
182	824	3679
183	827	3669
184	833	3673
185	837	3663
186	843	3666
187	846	3656
188	849	3646
189	852	3635
190	855	3625
191	859	3616
192	863	3608
193	866	3600
194	869	3590
195	873	3581
196	876	3574
197	879	3564
198	883	3554
199	886	3547
200	891	3543
201	897	3544
202	900	3535
203	903	3526
204	907	3517
205	909	3506
206	912	3495
207	915	3484
208	918	3476
209	922	3470
210	925	3462
211	928	3452
212	932	3445
213	935	3437
214	940	3432
215	943	3425
216	947	3418
217	952	3415
218	955	3407
219	958	3398
220	961	3389
221	964	3381
222	968	3374
223	971	3365
224	974	3357
225	977	3349
226	981	3340
227	984	3332
228	987	3323
229	991	3319
230	994	3311
231	997	3302
232	1000	3294
233	1003	3285
234	1006	3276
235	1009	3267
236	1012	3259
237	1015	3249
238	1024	3263
239	1028	3256
240	1032	3250
241	1035	3244
